Name	Object	Region	Patch	Expansion	Acquisition	Coordinates	underwater	mapCoordinates	Image	ImgName	In game description	Description 2
Maru Crab	Fish	Norvrandt	5.5	SHB	The Tempest: West Caliban Gap	X:6.2 Y:13.5	FALSE	latitude: 684 and longitude: 121.4		marucrab.png	A king among yeti crabs, and lord of the waters of west Caliban Gap.	This bulky ocean crustacean bears the name of a water deity, the tales of which are passed down in the local lore of the Tempest. Highly sensitive to aetheric disturbances, it is often able to gather its fellows and flee before predators or other dangers arrive.
Gwl Crab	Fish	Ilsabard	6.0	EW	Thavnair: Yedlihmad	X:25.5 Y:36.3	FALSE	latitude: 132 and longitude: 599.5		gwlcrab.png	A cast of these crustaceans resembles an underwater rose.	This crab's carapace is so arrestingly cerise, it is no surprise it was bestowed the name of “rose.” Indeed, when multiple gather, they resemble a flower in full bloom. Alas, these roses of the sea, like their floral counterparts, have a thorn─deadly toxins.
Ruby-spotted Crab	Fish	Othard	6.0	EW	The Ruby Sea: Northern Onokoro; Northwestern Onokoro	X:28.3 Y:3.6;  X:23.5 Y:3.5	TRUE	latitude: 931.5 and longitude: 665.9; latitude: 941 and longitude: 546.9		rubyspottedcrab.png	Though this crab advertises its toxicity with its bright and spotted carapace, some people just never learn. 	As its charmingly rubescent hue and mottled carapace signal a body replete with toxins, this wavekin is better admired than consumed. Fishermen of the Ruby Sea avail themselves of its poison's paralytic properties to more easily catch schools in a single swoop.
Skipping Stone	Fish	Othard	6.0	EW	The Ruby Sea: Northeastern Bekko	X:37.3 Y:12.3	TRUE	latitude: 710.5 and longitude: 848.6		skippingstone.png	A diminutive wavekin living in the shallows northeast of Bekko.	These small crabs mimic pebbles scattered around boulders on the sea floor. While the shell is thick and there is little edible flesh, it is an indispensable part of a pirate's diet thanks to its suitability for stock.
Spiny King Crab	Fish	Ilsabard	6.0	EW	Thavnair: Southern Akyaali	X:14.8 Y:36.9	TRUE	latitude: 125 and longitude: 346.97		spinykingcrab.png	A crustacean covered head to pincers in painful spines.	A crustaceous wavekin whose body is covered in razor-sharp spines to fend off potential predators, straightforwardly named by a visiting merchant from Kugane who once had the misfortune of stepping upon one.
Lale Crab	Fish	Ilsabard	6.2	EW	Thavnair: Yedlihmad	X:25.5 Y:36.3	FALSE	latitude: 132 and longitude: 599.5		lavacrab.png	A king among gwl crabs, and lord of the shores of Yedlihmad.	Among the rosaceous gwl crabs clustered along Thavnair's shores may be found brighter and more keenly shaped specimens─distinctive blooms all their own. So elegant are their wine-colored carapaces and delicate steps that any noblewoman of Radz-at-Han treasures the gift of a lale crab above that of its namesake tulip, integrity of her suitors' digits be damned.
Hells' Claw	Fish	Other	6.4	EW	The Ruby Sea		FALSE	Ocean Fishing		hellsclaw.png	Protected by a thick layer of volcanic rock, this crustacean swims through the depths of the Ruby Sea to keep the flesh inside its shell from cooking.	This formidable king of the Crab Pots dons an armored shell of volcanic rock to protect itself against would-be predators. While this defense mechanism has proven successful, the sweltering heat of its once-molten carapace would cook the crustacean from the inside out had it not made a habit of launching itself into the cool depths of the Ruby Sea.
Iq Rrax Crab	Fish	Yok Tural	7.0	DT	Yak T'el: Iq Rrax Tsoly Depths	X:31.5 Y:6.9	TRUE	latitude: 852 and longitude: 745.5		iqrraxcrab.png	The claws of this freshwater crustacean glisten blood red. This is likely a side effect of its overwhelmingly sanguineous diet.	Roughly translated, “Iq Rrax” means “fresh blood”─a fitting name for a crustacean that consumes exactly that. Capable of filling its claws with the blood of its prey, it will draw on these grisly reserves during times of scarcity.
Plattershell	Fish	Yok Tural	7.0	DT	Kozama'uka: Waters Hanu	X:23.0 Y:12.9	FALSE	latitude: 696 and longitude: 539.0		plattershell.png	Beneath this mottled crustacean's shell lies a hearty helping of delicious meat.	This prolific crustacean is a popular food source for many living in Yok Tural, and with good reason. For a crab, it is impressively large and meaty─more than fit for a feast.
Turali Land Crab	Fish	Yok Tural	7.0	DT	Yak T'el: Xd'aa Talat Tsoly	X:5.3 Y:7.7	TRUE	latitude: 831 and longitude: 112.45		turalilandcrab.png	These brilliant blue crabs make for a filling feast when cooked.	This crab's carapace is almost indistinguishable from the deep blue waters of the caldera lakes it calls home, lending it an advantage when hunting prey and avoiding predators. Turning bright red when boiled, its shell is soft, tender, and very much edible.
Yak T'el Crab	Fish	Yok Tural	7.0	DT	Yak T'el: Xty'iinbek Tsoly	X:37.0 Y:26.0	FALSE	latitude: 387.5 and longitude: 873.1		yaktelcrab.png	A blue-shelled crab that inhabits the deep, dark waters of Xty'iinbek Tsoly. 	Xbr'aal folklore describes this crab as a messenger of the underworld. The Mamool Ja, on the other hand, consider it a herald of the heavens above.
Cazuela Crab	Fish	Yok Tural	7.1	DT	Kozama'uka: Waters Hanu 	X:23.0 Y:12.9	FALSE	latitude: 696 and longitude: 539.0		cazuelacrab.png	A king among plattershells, and lord of waters Hanu.	Considered a delicacy by the Hanuhanu, the preferred method of preparing this weighty crustacean is to simply place it atop a boiling cookpot and steam the crab, carapace and all.
												
https://en.ff14angler.com												
												
												
												
Stats	Crabe de la Crabe	Smallshell										
Type	Critter	Monster										
HP	640	420										
ATK	30	30										
DEF	85	35										
SPD	2	2										
Cost	30	10										
Auto-attack	Single-target	Single-target										
Special	Crab walk	Tweezer										
Special Type	Enhancement	Disarming										
Area effect	Circle	Cone										
Special Desc	Renders all allies within range immune to attacks by monsters.	Removes all beneficial effects from all enemies within range.										
Special Dur	5s											
Points	20	20										
